,State,Year,Quater,Transacion_type,hover_count,hover_amount
482,bihar,2022,4,samastipur district,1371,1741058.0
483,bihar,2022,4,banka district,426,672199.0
484,bihar,2022,4,purbi champaran district,906,1109687.0
485,bihar,2022,4,sheohar district,166,210454.0
486,bihar,2022,4,bhojpur district,704,999948.0
487,bihar,2023,4,madhepura district,501,670051.0
488,bihar,2023,4,purnia district,1144,1807978.0
489,bihar,2023,4,nalanda district,1162,1652110.0
490,bihar,2023,4,buxar district,474,752601.0
491,bihar,2023,4,darbhanga district,1385,1986204.0
492,bihar,2023,4,nawada district,456,646046.0
493,bihar,2023,4,jamui district,384,517794.0
494,bihar,2023,4,sheikhpura district,171,219961.0
495,bihar,2023,4,siwan district,973,1368965.0
496,bihar,2023,4,muzaffarpur district,2640,3487730.0
497,bihar,2023,4,patna district,9152,12139703.0
498,bihar,2023,4,jehanabad district,390,472828.0
499,bihar,2023,4,rohtas district,1073,1616734.0
500,bihar,2023,4,begusarai district,1515,1920706.0
501,bihar,2023,4,supaul district,427,538101.0
502,bihar,2023,4,sitamarhi district,732,923169.0
503,bihar,2023,4,saran district,1474,2082626.0
504,bihar,2023,4,arwal district,201,284877.0
505,bihar,2023,4,vaishali district,2076,2700720.0
506,bihar,2023,4,pashchim champaran district,921,1260604.0
507,bihar,2023,4,gopalganj district,687,1235130.0
508,bihar,2023,4,lakhisarai district,292,384425.0
509,bihar,2023,4,aurangabad district,719,1118569.0
510,bihar,2023,4,kaimur bhabua district,281,551983.0
511,bihar,2023,4,araria district,464,615694.0
512,bihar,2023,4,munger district,747,1181992.0
513,bihar,2023,4,katihar district,1034,1484472.0
514,bihar,2023,4,khagaria district,535,696333.0
